ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
0,Human Resource Management,10/4/23,10/24/23,21,0,0,,,1,,,"#ff9999",,
1,"  Identification of needed jobs",10/4/23,10/4/23,1,0,0,,,1.1,,,,,
2,"  Development of job description",10/5/23,10/5/23,1,0,0,,1,1.2,,,,,
3,"  Determination of the number of workers needed.",10/5/23,10/5/23,1,0,0,,1,1.3,,,,,
5,"  Conduct interviews",10/6/23,10/15/23,10,0,0,,,1.4,,,,,
6,"  Hire",10/16/23,10/23/23,8,0,0,,1;2;5,1.5,,,,,
7,"  Establish a schedule.",10/24/23,10/24/23,1,0,0,,6,1.6,,,,,
8,Promotion,11/1/23,12/6/23,36,0,0,,0,2,,,"#ff6666",,
9,"  Design advertisements",11/1/23,11/6/23,6,0,0,,,2.1,,,,,
10,"  Contact Printing Companies",11/7/23,11/13/23,7,0,0,,9,2.2,,,,,
12,"  Select a company",11/14/23,11/15/23,2,0,0,,10,2.3,,,,,
13,"  Print posters",11/16/23,11/25/23,10,0,0,,9;10;12,2.4,,,,,
14,"  Distribute Posters",11/26/23,12/3/23,8,0,0,,13,2.5,,,,,
15,"  Put ads in news Papers",11/7/23,12/6/23,30,0,0,,9,2.6,,,,,
16,Tickets,12/7/23,12/16/23,10,0,0,,8,3,,,"#ff6666",,
17,"  Design tickets",12/7/23,12/12/23,6,0,0,,,3.1,,,,,
18,"  Contact Printing Companies",12/7/23,12/7/23,1,0,0,,,3.2,,,,,
19,"  Select a company.",12/8/23,12/8/23,1,0,0,,18,3.3,,,,,
20,"  Print tickets",12/9/23,12/9/23,1,0,0,,19,3.4,,,,,
21,"  Contact distribution centers",12/9/23,12/11/23,3,0,0,,,3.5,,,,,
22,"  Distribute tickets",12/12/23,12/16/23,5,0,0,,20;21,3.6,,,,,
23,the park,12/17/23,1/9/24,24,0,0,,16,4,,,"#ff6666",,
24,"  Buy materials",12/17/23,12/23/23,7,0,0,,,4.1,,,,,
25,"  Construct booths",12/24/23,12/28/23,5,0,0,,24,4.2,,,,,
26,"  Paint booth",12/29/23,12/31/23,3,0,0,,0;24;25,4.3,,,,,
27,"  Install booth",12/29/23,12/30/23,2,0,0,,24;25,4.4,,,,,
28,"  Contact suppliers",12/17/23,12/19/23,3,0,0,,,4.5,,,,,
29,"  Deliver supplies",12/20/23,12/25/23,6,0,0,,28,4.6,,,,,
30,"  Operate Booth",1/1/24,1/3/24,3,0,0,,25;26;27;29,4.7,,,,,
31,"  Decorate park",1/4/24,1/9/24,6,0,0,,24;27;29;30,4.8,,,,,
32,the stage,1/10/24,1/25/24,16,0,0,,23,5,,,"#ff3333",,
33,"  Contact Companies",1/10/24,1/12/24,3,0,0,,,5.1,,,,,
34,"  Deliver Materials",1/13/24,1/17/24,5,0,0,,33,5.2,,,,,
35,"  Set up the stage",1/18/24,1/20/24,3,0,0,,34,5.3,,,,,
36,"  Set up the lighting",1/21/24,1/23/24,3,0,0,,35,5.4,,,,,
37,"  Setup fences and Barriers",1/21/24,1/24/24,4,0,0,,35,5.5,,,,,
38,"  Rent Equipment",1/21/24,1/23/24,3,0,0,,35,5.6,,,,,
39,"  Setup Equipment",1/24/24,1/25/24,2,0,0,,38,5.7,,,,,
40,Performers,1/26/24,2/3/24,9,0,0,,0;8;32,6,,,"#ff3333",,
41,"  Contact performers’ representatives",1/26/24,1/30/24,5,0,0,,,6.1,,,,,
42,"  Contact transportation companies",1/26/24,1/28/24,3,0,0,,,6.2,,,,,
43,"  Coordinate performers arrival",1/31/24,2/2/24,3,0,0,,41;42,6.3,,,,,
44,"  Sound checks",1/26/24,1/27/24,2,0,0,,,6.4,,,,,
45,"  Provide transportation to the event",2/3/24,2/3/24,1,0,0,,43,6.5,,,,,
46,The event,2/4/24,2/9/24,6,0,0,,16;32;40,7,,,"#ff3333",,
47,"  Contact Security Companies",2/4/24,2/8/24,5,0,0,,,7.1,,,,,
48,"  Assign coordinator",2/4/24,2/4/24,1,0,0,,,7.2,,,,,
49,"  Start the Event",2/9/24,2/9/24,1,0,0,,47;48,7.3,,,,,
50,"  End the Event",2/9/24,2/9/24,1,0,0,,,7.4,,,,,
51,Post Festival,2/10/24,2/18/24,9,0,0,,46,8,,,"#ff3333",,
52,"  Dismantle Equipment",2/10/24,2/14/24,5,0,0,,,8.1,,,,,
53,"  Dismantle Stage",2/10/24,2/16/24,7,0,0,,,8.2,,,,,
54,"  Dismantle Booths",2/10/24,2/14/24,5,0,0,,,8.3,,,,,
55,"  Clean-up",2/17/24,2/18/24,2,0,0,,52;53;54,8.4,,,,,
56,"  Terminate Employment",2/10/24,2/10/24,1,0,0,,,8.5,,,,,
57,"  Evaluation of outcome,profit calculation and profit distribution",2/11/24,2/11/24,1,0,0,,56,8.6,,,,,
